2026-07-27 01:28:15 | INFO     | __main__ | Starting synthetic data generation (seed=42)
2026-07-27 01:28:15 | INFO     | __main__ | Generating users...
2026-07-27 01:28:15 | INFO     | __main__ |   users.csv: 50000 rows
2026-07-27 01:28:15 | INFO     | __main__ | Generating advertisers...
2026-07-27 01:28:15 | INFO     | __main__ |   advertisers.csv: 200 rows
2026-07-27 01:28:15 | INFO     | __main__ | Generating campaigns...
2026-07-27 01:28:15 | INFO     | __main__ |   campaigns.csv: 599 rows
2026-07-27 01:28:15 | INFO     | __main__ | Generating creatives...
2026-07-27 01:28:15 | INFO     | __main__ |   creatives.csv: 1484 rows
2026-07-27 01:28:15 | INFO     | __main__ | Generating impressions and clicks (n=1000000)...
2026-07-27 01:28:47 | INFO     | __main__ |   impressions.csv: 1000000 rows
2026-07-27 01:28:47 | INFO     | __main__ |   clicks.csv: 22747 rows
2026-07-27 01:28:47 | INFO     | __main__ |   Overall CTR: 2.2747% (22747 clicks / 1000000 impressions)
2026-07-27 01:28:47 | INFO     | __main__ | Data generation complete in 32.6s
2026-07-27 01:33:11 | INFO     | __main__ | Applying schema from sql/schema.sql
2026-07-27 01:33:11 | INFO     | __main__ | Schema applied.
2026-07-27 01:33:11 | INFO     | __main__ | Loaded users.csv -> users: 50000 rows in 0.1s
2026-07-27 01:33:11 | INFO     | __main__ | Loaded advertisers.csv -> advertisers: 200 rows in 0.0s
2026-07-27 01:33:11 | INFO     | __main__ | Loaded campaigns.csv -> campaigns: 599 rows in 0.0s
2026-07-27 01:33:11 | INFO     | __main__ | Loaded creatives.csv -> creatives: 1484 rows in 0.0s
2026-07-27 01:34:04 | INFO     | __main__ | Loaded impressions.csv -> impressions: 1000000 rows in 53.3s
2026-07-27 01:34:07 | INFO     | __main__ | Loaded clicks.csv -> clicks: 22747 rows in 2.3s
2026-07-27 01:34:07 | INFO     | __main__ | All tables loaded in 55.9s
2026-07-27 01:37:46 | INFO     | src.etl.validate |   [OK] test_table.id is unique (3 rows)
2026-07-27 01:37:46 | INFO     | src.etl.transform | Attached labels. Dataset CTR: 33.3333% (1 / 3)
2026-07-27 01:37:46 | INFO     | src.etl.transform |   train: 2 rows, 2025-11-01 00:00:00 to 2025-11-15 00:00:00, CTR 50.0000%
2026-07-27 01:37:46 | INFO     | src.etl.transform |   val: 2 rows, 2025-12-05 00:00:00 to 2025-12-10 00:00:00, CTR 50.0000%
2026-07-27 01:37:46 | INFO     | src.etl.transform |   test: 2 rows, 2025-12-20 00:00:00 to 2025-12-25 00:00:00, CTR 50.0000%
2026-07-27 01:37:50 | INFO     | __main__ | === EXTRACT ===
2026-07-27 01:37:50 | INFO     | src.etl.extract | Extracting users from PostgreSQL...
2026-07-27 01:37:50 | INFO     | src.etl.extract |   users: 50000 rows
2026-07-27 01:37:50 | INFO     | src.etl.extract | Extracting advertisers from PostgreSQL...
2026-07-27 01:37:50 | INFO     | src.etl.extract |   advertisers: 200 rows
2026-07-27 01:37:50 | INFO     | src.etl.extract | Extracting campaigns from PostgreSQL...
2026-07-27 01:37:50 | INFO     | src.etl.extract |   campaigns: 599 rows
2026-07-27 01:37:50 | INFO     | src.etl.extract | Extracting creatives from PostgreSQL...
2026-07-27 01:37:50 | INFO     | src.etl.extract |   creatives: 1484 rows
2026-07-27 01:37:50 | INFO     | src.etl.extract | Extracting impressions from PostgreSQL...
2026-07-27 01:38:12 | INFO     | src.etl.extract |   impressions: 1000000 rows
2026-07-27 01:38:12 | INFO     | src.etl.extract | Extracting clicks from PostgreSQL...
2026-07-27 01:38:13 | INFO     | src.etl.extract |   clicks: 22747 rows
2026-07-27 01:38:13 | INFO     | __main__ | === VALIDATE ===
2026-07-27 01:38:13 | INFO     | src.etl.validate | Running validation suite...
